Name,Title,Description,Price,Stock,Place,SEO Title,SEO Description,SEO Keywords
fullprint_cosmic_vibe,"Fullprint design hoodie ""Cosmic Vibe""","This is new fullprint design hoodie of collection ""Cosmic Vibe"" 2026. Never printed before.",,,,,,
fullprint_purple_buddha,"Fullprint design hoodie ""Purple Buddha""","This is ""Purple Buddha"" design fullprint. Never printed before.",,,,,,
fullprint_sunset_mandala,"Fullprint design hoodie ""Sunset Mandala""","This is ""Sunset Mandala"" design fullprint. Digital version.",,,,,,
fullprint_slavic,"Fullprint design hoodie ""Slavic""",Fullprint slavic design. Khohloma old russian style. ,,,,,,
fullprint_mystery_owls,"Fullprint design hoodie ""Mystery Owls""",The Bestseller.,,,,,,
fullprint_dark_forest,"Fullprint design hoodie ""Dark Forest""",Visual hymn for Dark Forest Psytrance music.,,,,,,
